Price,Close,High,Low,Open,Volume
Ticker,BTC-EUR,BTC-EUR,BTC-EUR,BTC-EUR,BTC-EUR
Date,,,,,
2024-03-26,64555.1953125,65645.140625,61400.9765625,62211.84375,39401980746
2024-03-27,64607.6640625,65943.6484375,63961.26953125,64529.83203125,33242207017
2024-03-28,64228.828125,66307.7265625,63196.18359375,64611.41015625,37754873033
2024-03-29,65552.484375,66244.171875,63657.72265625,64226.44921875,31851886037
2024-03-30,64714.95703125,65781.1875,64015.40625,65552.34375,23361674571
2024-03-31,64485.7734375,65143.34765625,64444.80859375,64715.52734375,15861182173
2024-04-01,66090.1953125,66131.0859375,64466.84765625,64488.0625,18577076876
2024-04-02,64920.578125,66098.0234375,63459.89453125,66090.046875,32481203376
2024-04-03,60778.1171875,64926.38671875,60031.171875,64923.2578125,47088030248
2024-04-04,60879.4375,61905.25,59960.0078125,60777.8359375,31821542739
2024-04-05,63220.5078125,63814.68359375,60044.42578125,60874.71875,31781071439
2024-04-06,62559.875,63377.65625,61056.59375,63226.88671875,31122617757
2024-04-07,63535.9921875,64212.41796875,62240.859375,62562.578125,18414292073
2024-04-08,64045.21875,64784.73828125,63494.97265625,63536.9140625,19579360407
2024-04-09,65948.5546875,67173.0703125,63800.71875,64045.21875,34305334170
2024-04-10,63670.39453125,66052.109375,62849.06640625,65949.609375,33545678294
2024-04-11,65717.3125,66185.78125,62786.41796875,63671.5234375,35674618252
2024-04-12,65317.50390625,66326.515625,64987.8671875,65706.0078125,28111998916
2024-04-13,63046.51953125,66471.40625,61312.26953125,65318.22265625,41404315168
2024-04-14,59880.49609375,63736.6640625,57157.3515625,63039.49609375,49605031852
2024-04-15,61747.79296875,61824.8046875,58364.640625,59894.34375,46104460061
2024-04-16,59696.43359375,62753.171875,58671.12109375,61748.65625,41032259716
2024-04-17,60080.52734375,60616.796875,58076.4296875,59689.92578125,40342061721
2024-04-18,57433.48046875,60729.51953125,56185.28125,60099.34375,39286364669
2024-04-19,59676.96484375,60151.75390625,56914.76953125,57432.1875,33831742410
2024-04-20,59876.7109375,61440.46484375,56170.07421875,59675.08203125,46818669689
2024-04-21,60956.07421875,61376.2578125,59247.25,59883.77734375,21662346331
2024-04-22,60919.2421875,61639.59375,60245.7734375,60954.5546875,19240933719
2024-04-23,62729.296875,63113.45703125,60496.6171875,60927.67578125,26544206489
